location,size,bhk,floors,furnishing,price
Silicon City,750,1,1,Semi Furnished,7090000
Silicon City,1500,3,2,Furnished,24850000
Silicon City,1200,3,2,Semi Furnished,15120000
Silicon City,750,2,2,Furnished,11860000
Silicon City,750,1,3,Furnished,13690000
Silicon City,600,1,4,Unfurnished,7770000
Silicon City,600,1,1,Semi Furnished,5670000
Silicon City,1200,3,1,Unfurnished,11160000
Silicon City,1000,3,Ground,Unfurnished,7650000
Silicon City,500,1,4,Semi Furnished,7730000
Silicon City,500,1,4,Furnished,10730000
Silicon City,1200,2,1,Furnished,14940000
Silicon City,1500,3,1,Unfurnished,13960000
Silicon City,1000,2,4,Unfurnished,13610000
Silicon City,750,2,Ground,Semi Furnished,5870000
Silicon City,600,1,4,Furnished,12870000
Silicon City,500,1,1,Unfurnished,4230000
Rau,750,2,3,Furnished,14560000
Rau,600,1,4,Unfurnished,7920000
Rau,750,2,2,Furnished,12040000
Rau,1000,1,3,Unfurnished,11700000
Rau,600,1,3,Furnished,11100000
Rau,750,1,2,Semi Furnished,8770000
Rau,500,1,1,Semi Furnished,4850000
Rau,500,1,2,Unfurnished,5100000
Rau,600,1,Ground,Unfurnished,4320000
Rau,1500,3,2,Semi Furnished,19300000
Rau,750,2,1,Semi Furnished,7630000
Rau,600,1,Ground,Furnished,5340000
Rau,1200,2,Ground,Semi Furnished,9700000
Rau,500,1,2,Furnished,7650000
Rau,1200,3,2,Unfurnished,13460000
Rau,500,1,3,Furnished,9250000
Rau,750,1,3,Semi Furnished,10270000
Rau,1500,2,Ground,Semi Furnished,12120000
Rau,750,2,4,Semi Furnished,12360000
Rau,1500,3,1,Furnished,19960000
Rau,600,1,2,Unfurnished,6120000
Rau,1200,2,2,Semi Furnished,14740000
Rau,600,1,2,Semi Furnished,7020000
Rau,1200,3,1,Unfurnished,11480000
Rau,750,2,Ground,Furnished,7000000
Rau,500,1,Ground,Furnished,4450000
Rau,600,1,2,Furnished,9180000
Rau,500,1,3,Unfurnished,5850000
Rau,1200,3,3,Unfurnished,15440000
Rau,1200,3,2,Furnished,20190000
Rau,1000,2,2,Semi Furnished,12280000
Rau,750,1,1,Unfurnished,6520000
Mahalakshmi Nagar,1500,2,4,Furnished,37670000
Mahalakshmi Nagar,1000,3,3,Semi Furnished,17510000
Mahalakshmi Nagar,1000,2,Ground,Semi Furnished,10410000
Mahalakshmi Nagar,750,2,3,Semi Furnished,12530000
Mahalakshmi Nagar,600,1,4,Unfurnished,9250000
Mahalakshmi Nagar,1000,1,Ground,Furnished,11120000
Mahalakshmi Nagar,750,2,1,Semi Furnished,9380000
Mahalakshmi Nagar,750,1,2,Unfurnished,9310000
Mahalakshmi Nagar,1000,1,2,Semi Furnished,13920000
Mahalakshmi Nagar,1500,3,3,Unfurnished,22960000
Mahalakshmi Nagar,600,1,4,Furnished,14350000
Mahalakshmi Nagar,750,2,3,Furnished,16310000
Mahalakshmi Nagar,1500,3,2,Furnished,28900000
Mahalakshmi Nagar,750,1,4,Furnished,17940000
Mahalakshmi Nagar,1200,3,4,Semi Furnished,23650000
Mahalakshmi Nagar,500,1,4,Semi Furnished,8960000
Mahalakshmi Nagar,600,1,2,Unfurnished,7450000
Mahalakshmi Nagar,1200,2,2,Semi Furnished,17530000
Mahalakshmi Nagar,1000,3,1,Unfurnished,12010000
Mahalakshmi Nagar,600,1,3,Furnished,12430000
Mahalakshmi Nagar,600,1,1,Unfurnished,6550000
Mahalakshmi Nagar,500,1,1,Semi Furnished,5960000
Mahalakshmi Nagar,600,1,Ground,Semi Furnished,5950000
Mahalakshmi Nagar,1500,3,Ground,Furnished,18340000
Mahalakshmi Nagar,500,1,3,Furnished,10360000
Mahalakshmi Nagar,500,1,2,Furnished,8760000
Mahalakshmi Nagar,1200,2,1,Unfurnished,13750000
Mahalakshmi Nagar,600,1,Ground,Unfurnished,5650000
Mahalakshmi Nagar,750,2,Ground,Furnished,8750000
Mahalakshmi Nagar,1500,2,4,Semi Furnished,28220000
Mahalakshmi Nagar,750,1,2,Semi Furnished,10440000
Mahalakshmi Nagar,1500,3,1,Unfurnished,18010000
Lasudia Mori,750,1,Ground,Semi Furnished,5660000
Lasudia Mori,750,2,2,Semi Furnished,9090000
Lasudia Mori,1200,2,3,Semi Furnished,17070000
Lasudia Mori,750,2,2,Furnished,11930000
Lasudia Mori,1200,3,3,Unfurnished,15240000
Lasudia Mori,1000,1,1,Furnished,11950000
Lasudia Mori,600,1,1,Unfurnished,5130000
Lasudia Mori,750,1,Ground,Unfurnished,5280000
Lasudia Mori,750,1,1,Semi Furnished,7160000
Lasudia Mori,500,1,Ground,Unfurnished,3520000
Lasudia Mori,1200,3,4,Unfurnished,17220000
Lasudia Mori,600,1,3,Furnished,11010000
Lasudia Mori,500,1,4,Semi Furnished,7770000
Lasudia Mori,600,1,Ground,Unfurnished,4230000
Lasudia Mori,600,1,4,Furnished,12930000
Lasudia Mori,1200,2,3,Furnished,23120000
Lasudia Mori,750,2,2,Unfurnished,7910000
Lasudia Mori,1200,3,1,Semi Furnished,12600000
Lasudia Mori,1500,3,4,Unfurnished,21530000
Lasudia Mori,1500,2,3,Unfurnished,18180000
Lasudia Mori,1200,3,Ground,Semi Furnished,9960000
Lasudia Mori,1500,3,3,Furnished,30270000
Lasudia Mori,1000,1,3,Furnished,18350000
Lasudia Mori,600,1,3,Unfurnished,6930000
Lasudia Mori,600,1,3,Semi Furnished,8130000
Lasudia Mori,1500,2,Ground,Semi Furnished,11880000
Lasudia Mori,500,1,2,Unfurnished,5020000
Lasudia Mori,1500,3,1,Semi Furnished,15750000
Lasudia Mori,1000,2,2,Unfurnished,10550000
Lasudia Mori,750,2,4,Furnished,16970000
Lasudia Mori,600,1,2,Unfurnished,6030000
Lasudia Mori,600,1,4,Unfurnished,7830000
Bhicholi Mardana,500,1,2,Unfurnished,5300000
Bhicholi Mardana,1200,3,Ground,Furnished,12290000
Bhicholi Mardana,1000,2,1,Unfurnished,9560000
Bhicholi Mardana,750,2,2,Furnished,12370000
Bhicholi Mardana,1000,1,2,Unfurnished,10610000
Bhicholi Mardana,750,1,3,Unfurnished,9080000
Bhicholi Mardana,500,1,3,Semi Furnished,7050000
Bhicholi Mardana,500,1,3,Unfurnished,6050000
Bhicholi Mardana,500,1,1,Semi Furnished,5050000
Bhicholi Mardana,1500,3,Ground,Semi Furnished,13380000
Bhicholi Mardana,600,1,2,Semi Furnished,7260000
Bhicholi Mardana,1200,2,3,Unfurnished,15260000
Bhicholi Mardana,1500,3,3,Semi Furnished,23280000
Bhicholi Mardana,1500,3,1,Unfurnished,15030000
Bhicholi Mardana,1500,3,1,Semi Furnished,16680000
Bhicholi Mardana,1000,2,Ground,Unfurnished,7990000
Bhicholi Mardana,500,1,Ground,Furnished,4650000
Bhicholi Mardana,1500,3,4,Unfurnished,22450000
Bhicholi Mardana,600,1,Ground,Semi Furnished,4860000
Bhicholi Mardana,1000,2,Ground,Semi Furnished,8510000
Bhicholi Mardana,1500,3,2,Semi Furnished,19980000
Bhicholi Mardana,750,1,1,Unfurnished,6830000
Bhicholi Mardana,500,1,3,Furnished,9450000
Bhicholi Mardana,750,2,4,Furnished,17410000
Bhicholi Mardana,600,1,3,Unfurnished,7260000
Bhicholi Mardana,1500,2,Ground,Furnished,14660000
Bhicholi Mardana,1000,3,2,Semi Furnished,13320000
Bhicholi Mardana,1200,2,2,Furnished,19790000
Bhicholi Mardana,600,1,Ground,Unfurnished,4560000
Bhicholi Mardana,750,2,4,Unfurnished,10720000
Bhicholi Mardana,750,2,1,Semi Furnished,7960000
Bhicholi Mardana,1200,2,1,Semi Furnished,12740000
Limbodi,1500,3,3,Semi Furnished,21800000
Limbodi,750,2,1,Unfurnished,6470000
Limbodi,500,1,Ground,Unfurnished,3360000
Limbodi,500,1,3,Furnished,9000000
Limbodi,1000,2,4,Unfurnished,13350000
Limbodi,500,1,Ground,Furnished,4200000
Limbodi,500,1,1,Semi Furnished,4600000
Limbodi,1000,1,2,Furnished,14810000
Limbodi,750,2,3,Semi Furnished,10400000
Limbodi,750,1,1,Semi Furnished,6910000
Limbodi,500,1,Ground,Semi Furnished,3600000
Limbodi,1000,1,1,Furnished,11610000
Limbodi,600,1,1,Unfurnished,4930000
Limbodi,1200,2,3,Unfurnished,14120000
Limbodi,600,1,Ground,Semi Furnished,4330000
Limbodi,1200,3,1,Furnished,15330000
Limbodi,600,1,2,Furnished,8890000
Limbodi,500,1,2,Semi Furnished,5600000
Limbodi,500,1,1,Furnished,5800000
Limbodi,1000,2,1,Semi Furnished,9670000
Limbodi,750,2,Ground,Unfurnished,5280000
Limbodi,500,1,2,Furnished,7400000
Limbodi,1200,2,4,Furnished,26720000
Limbodi,600,1,4,Semi Furnished,9130000
Limbodi,1500,3,4,Semi Furnished,25100000
Limbodi,600,1,3,Unfurnished,6730000
Limbodi,750,2,2,Semi Furnished,8830000
Limbodi,500,1,1,Unfurnished,4100000
Limbodi,600,1,1,Semi Furnished,5530000
Limbodi,1200,3,Ground,Semi Furnished,9520000
Limbodi,1000,2,4,Furnished,22270000
Limbodi,1000,3,1,Unfurnished,9030000
Mayakhedi,500,1,1,Furnished,6230000
Mayakhedi,1500,2,1,Furnished,19640000
Mayakhedi,500,1,2,Furnished,7830000
Mayakhedi,500,1,2,Semi Furnished,6030000
Mayakhedi,500,1,4,Furnished,11030000
Mayakhedi,600,1,Ground,Furnished,5560000
Mayakhedi,500,1,3,Semi Furnished,7030000
Mayakhedi,750,1,3,Unfurnished,9050000
Mayakhedi,1000,3,3,Unfurnished,13270000
Mayakhedi,1500,3,Ground,Semi Furnished,13310000
Mayakhedi,1200,2,Ground,Semi Furnished,10160000
Mayakhedi,1200,3,3,Furnished,24900000
Mayakhedi,1000,2,1,Furnished,13090000
Mayakhedi,1500,3,3,Furnished,31130000
Mayakhedi,600,1,4,Furnished,13240000
Mayakhedi,500,1,2,Unfurnished,5280000
Mayakhedi,750,2,1,Unfurnished,7140000
Mayakhedi,1000,2,3,Semi Furnished,14770000
Mayakhedi,1500,3,4,Semi Furnished,26510000
Mayakhedi,750,1,4,Unfurnished,10180000
Mayakhedi,1000,1,4,Semi Furnished,16070000
Mayakhedi,500,1,1,Semi Furnished,5030000
Mayakhedi,500,1,3,Furnished,9430000
Mayakhedi,1000,3,4,Furnished,24270000
Mayakhedi,600,1,3,Furnished,11320000
Mayakhedi,500,1,3,Unfurnished,6030000
Mayakhedi,1000,3,1,Semi Furnished,11070000
Mayakhedi,750,2,Ground,Furnished,7300000
Mayakhedi,500,1,4,Semi Furnished,8030000
Mayakhedi,600,1,1,Furnished,7480000
Mayakhedi,600,1,2,Semi Furnished,7240000
Mayakhedi,600,1,1,Semi Furnished,6040000
Vijay Nagar,1200,3,2,Semi Furnished,19940000
Vijay Nagar,1200,2,1,Semi Furnished,16520000
Vijay Nagar,600,1,2,Furnished,11230000
Vijay Nagar,1500,2,1,Furnished,24430000
Vijay Nagar,1000,3,Ground,Unfurnished,11670000
Vijay Nagar,750,2,2,Furnished,14730000
Vijay Nagar,750,2,2,Semi Furnished,11900000
Vijay Nagar,1200,3,1,Furnished,20470000
Vijay Nagar,1200,2,4,Semi Furnished,24080000
Vijay Nagar,1200,2,1,Unfurnished,15260000
Vijay Nagar,600,1,2,Unfurnished,8170000
Vijay Nagar,1000,1,3,Unfurnished,15110000
Vijay Nagar,750,1,3,Semi Furnished,12830000
Vijay Nagar,500,1,2,Semi Furnished,7550000
Vijay Nagar,750,1,4,Unfurnished,12460000
Vijay Nagar,500,1,3,Unfurnished,7550000
Vijay Nagar,1200,3,3,Unfurnished,19940000
Vijay Nagar,500,1,Ground,Furnished,6150000
Vijay Nagar,1500,2,2,Unfurnished,21430000
Vijay Nagar,500,1,4,Furnished,12550000
Vijay Nagar,1200,3,Ground,Semi Furnished,14660000
Vijay Nagar,1500,3,3,Furnished,36150000
Vijay Nagar,1200,3,4,Furnished,33140000
Vijay Nagar,1500,3,4,Unfurnished,27400000
Vijay Nagar,500,1,3,Semi Furnished,8550000
Vijay Nagar,750,1,1,Unfurnished,9080000
Vijay Nagar,600,1,3,Furnished,13150000
Vijay Nagar,1500,3,4,Furnished,41430000
Vijay Nagar,1000,1,4,Unfurnished,16610000
Vijay Nagar,600,1,1,Semi Furnished,7870000
Vijay Nagar,1000,1,3,Semi Furnished,17110000
Vijay Nagar,500,1,Ground,Unfurnished,5300000
County Walk Township,600,1,1,Furnished,7330000
County Walk Township,1000,3,4,Furnished,24010000
County Walk Township,1200,2,4,Semi Furnished,19940000
County Walk Township,500,1,4,Furnished,10910000
County Walk Township,750,1,3,Semi Furnished,10370000
County Walk Township,750,2,Ground,Unfurnished,5770000
County Walk Township,1200,2,Ground,Furnished,11370000
County Walk Township,1000,2,3,Unfurnished,12410000
County Walk Township,600,1,2,Unfurnished,6190000
County Walk Township,500,1,2,Furnished,7710000
County Walk Township,500,1,4,Unfurnished,6660000
County Walk Township,750,1,2,Furnished,11570000
County Walk Township,600,1,3,Semi Furnished,8290000
County Walk Township,600,1,Ground,Semi Furnished,4690000
County Walk Township,1200,3,Ground,Semi Furnished,10330000
County Walk Township,750,1,3,Unfurnished,8870000
County Walk Township,1000,3,1,Unfurnished,9710000
County Walk Township,500,1,2,Unfurnished,5160000
County Walk Township,1500,3,Ground,Semi Furnished,12910000
County Walk Township,750,2,1,Unfurnished,6950000
County Walk Township,1200,2,2,Furnished,19430000
County Walk Township,1500,2,1,Furnished,19250000
County Walk Township,1500,2,Ground,Unfurnished,11530000
County Walk Township,600,1,1,Unfurnished,5290000
County Walk Township,1000,3,2,Unfurnished,11360000
County Walk Township,500,1,1,Unfurnished,4410000
County Walk Township,1500,2,1,Unfurnished,13900000
County Walk Township,1000,2,3,Furnished,19550000
County Walk Township,500,1,1,Semi Furnished,4910000
County Walk Township,1000,3,3,Semi Furnished,15210000
County Walk Township,600,1,2,Furnished,9250000
County Walk Township,500,1,1,Furnished,6110000
Devguradia,1000,3,3,Unfurnished,12700000
Devguradia,1200,2,Ground,Unfurnished,8880000
Devguradia,750,1,1,Unfurnished,6410000
Devguradia,750,2,4,Semi Furnished,12240000
Devguradia,1500,3,2,Unfurnished,16580000
Devguradia,600,1,2,Furnished,9090000
Devguradia,750,2,3,Semi Furnished,10670000
Devguradia,1200,3,4,Furnished,28440000
Devguradia,1200,3,2,Unfurnished,13260000
Devguradia,750,2,2,Semi Furnished,9090000
Devguradia,500,1,Ground,Furnished,4370000
Devguradia,500,1,1,Semi Furnished,4770000
Devguradia,1000,3,Ground,Unfurnished,7750000
Devguradia,1000,2,2,Semi Furnished,12130000
Devguradia,500,1,2,Unfurnished,5020000
Devguradia,1200,2,3,Unfurnished,14550000
Devguradia,1500,2,Ground,Furnished,13780000
Devguradia,1500,2,1,Furnished,18820000
Devguradia,1200,3,1,Semi Furnished,12600000
Devguradia,750,2,4,Unfurnished,10280000
Devguradia,1200,2,4,Semi Furnished,19590000
Devguradia,750,1,3,Furnished,13760000
Devguradia,750,1,Ground,Unfurnished,5290000
Devguradia,1000,3,3,Semi Furnished,14900000
Devguradia,600,1,3,Unfurnished,6930000
Devguradia,500,1,2,Semi Furnished,5770000
Devguradia,1000,2,1,Unfurnished,8980000
Devguradia,600,1,4,Unfurnished,7830000
Devguradia,500,1,1,Unfurnished,4270000
Devguradia,500,1,Ground,Semi Furnished,3770000
Devguradia,1200,2,Ground,Furnished,11020000
Devguradia,1200,3,2,Semi Furnished,15240000
Bhawrasla,1500,3,3,Furnished,30470000
Bhawrasla,600,1,1,Furnished,7240000
Bhawrasla,500,1,3,Unfurnished,5830000
Bhawrasla,750,1,4,Semi Furnished,11750000
Bhawrasla,1500,3,1,Furnished,19910000
Bhawrasla,750,1,1,Furnished,9050000
Bhawrasla,500,1,1,Semi Furnished,4830000
Bhawrasla,750,2,1,Unfurnished,6830000
Bhawrasla,1200,2,1,Semi Furnished,12180000
Bhawrasla,500,1,3,Furnished,9230000
Bhawrasla,750,2,Ground,Semi Furnished,6040000
Bhawrasla,750,1,3,Unfurnished,8750000
Bhawrasla,1500,3,3,Semi Furnished,22550000
Bhawrasla,1200,2,3,Furnished,23270000
Bhawrasla,1200,3,4,Semi Furnished,20680000
Bhawrasla,1200,2,3,Semi Furnished,17220000
Bhawrasla,600,1,2,Semi Furnished,7000000
Bhawrasla,500,1,3,Semi Furnished,6830000
Bhawrasla,1500,3,Ground,Unfurnished,11830000
Bhawrasla,1200,3,2,Unfurnished,13420000
Bhawrasla,1200,3,Ground,Unfurnished,9460000
Bhawrasla,500,1,1,Furnished,6030000
Bhawrasla,1500,3,2,Semi Furnished,19250000
Bhawrasla,500,1,Ground,Furnished,4430000
Bhawrasla,500,1,Ground,Unfurnished,3580000
Bhawrasla,1500,3,2,Unfurnished,16780000
Bhawrasla,750,2,2,Furnished,12020000
Bhawrasla,1200,3,4,Furnished,28600000
Bhawrasla,750,2,4,Furnished,17060000
Bhawrasla,600,1,1,Semi Furnished,5800000
Bhawrasla,1500,3,4,Furnished,35750000
Bhawrasla,1000,2,1,Furnished,12670000
Mhow,500,1,3,Furnished,8080000
Mhow,1200,2,4,Semi Furnished,16840000
Mhow,1200,2,3,Unfurnished,11800000
Mhow,750,2,2,Unfurnished,6190000
Mhow,750,1,4,Semi Furnished,10020000
Mhow,500,1,Ground,Unfurnished,2430000
Mhow,1000,1,1,Semi Furnished,7370000
Mhow,750,1,1,Furnished,7320000
Mhow,1200,3,4,Furnished,25560000
Mhow,500,1,3,Semi Furnished,5680000
Mhow,1200,3,2,Semi Furnished,12360000
Mhow,1000,3,3,Unfurnished,10300000
Mhow,600,1,3,Furnished,9700000
Mhow,1000,2,2,Furnished,13610000
Mhow,1500,2,3,Furnished,25460000
Mhow,500,1,Ground,Semi Furnished,2680000
Mhow,1500,3,3,Semi Furnished,18750000
Mhow,1200,2,3,Furnished,20370000
Mhow,1000,1,4,Unfurnished,10870000
Mhow,750,1,Ground,Furnished,4920000
Mhow,1500,3,Ground,Furnished,10830000
Mhow,600,1,3,Unfurnished,5620000
Mhow,500,1,1,Furnished,4880000
Mhow,1200,3,2,Unfurnished,10380000
Mhow,1500,3,4,Unfurnished,17930000
Mhow,600,1,Ground,Furnished,3940000
Mhow,1200,3,3,Semi Furnished,15000000
Mhow,600,1,1,Unfurnished,3820000
Mhow,600,1,1,Furnished,5860000
Mhow,600,1,3,Semi Furnished,6820000
Mhow,750,2,3,Furnished,12730000
Mhow,1200,3,1,Unfurnished,8400000
Kanadiya,1200,3,4,Unfurnished,18220000
Kanadiya,1000,2,4,Furnished,23420000
Kanadiya,500,1,4,Unfurnished,6900000
Kanadiya,1000,2,Ground,Semi Furnished,8720000
Kanadiya,1500,3,1,Furnished,20960000
Kanadiya,1500,2,1,Semi Furnished,16230000
Kanadiya,1200,2,1,Semi Furnished,12980000
Kanadiya,1200,2,Ground,Semi Furnished,10460000
Kanadiya,750,2,2,Furnished,12520000
Kanadiya,1000,2,2,Semi Furnished,12920000
Kanadiya,600,1,2,Unfurnished,6480000
Kanadiya,750,2,1,Furnished,10000000
Kanadiya,500,1,1,Furnished,6350000
Kanadiya,1200,3,2,Furnished,20990000
Kanadiya,500,1,3,Semi Furnished,7150000
Kanadiya,1500,3,4,Furnished,36800000
Kanadiya,600,1,4,Furnished,13380000
Kanadiya,750,1,1,Semi Furnished,7730000
Kanadiya,500,1,Ground,Semi Furnished,4150000
Kanadiya,600,1,Ground,Unfurnished,4680000
Kanadiya,600,1,2,Furnished,9540000
Kanadiya,1000,2,1,Furnished,13340000
Kanadiya,600,1,4,Unfurnished,8280000
Kanadiya,1500,2,3,Semi Furnished,22530000
Kanadiya,750,1,2,Unfurnished,8100000
Kanadiya,600,1,3,Unfurnished,7380000
Kanadiya,1500,2,Ground,Semi Furnished,13080000
Kanadiya,750,2,2,Semi Furnished,9690000
Kanadiya,1200,3,Ground,Unfurnished,10300000
Kanadiya,1000,1,2,Unfurnished,10800000
Kanadiya,500,1,1,Semi Furnished,5150000
Kanadiya,1000,3,1,Unfurnished,10230000
Talawali Chanda,600,1,Ground,Semi Furnished,4560000
Talawali Chanda,750,1,4,Unfurnished,9830000
Talawali Chanda,1200,2,2,Semi Furnished,14620000
Talawali Chanda,600,1,2,Unfurnished,6060000
Talawali Chanda,600,1,3,Unfurnished,6960000
Talawali Chanda,500,1,3,Unfurnished,5800000
Talawali Chanda,1200,2,1,Semi Furnished,12100000
Talawali Chanda,500,1,1,Unfurnished,4300000
Talawali Chanda,1000,2,1,Unfurnished,9040000
Talawali Chanda,1200,2,3,Furnished,23190000
Talawali Chanda,1200,3,4,Unfurnished,17300000
Talawali Chanda,500,1,Ground,Semi Furnished,3800000
Talawali Chanda,1000,3,2,Furnished,16730000
Talawali Chanda,1500,2,1,Furnished,18910000
Talawali Chanda,500,1,4,Unfurnished,6550000
Talawali Chanda,600,1,2,Furnished,9120000
Talawali Chanda,500,1,Ground,Unfurnished,3550000
Talawali Chanda,1500,2,2,Semi Furnished,18280000
Talawali Chanda,500,1,3,Semi Furnished,6800000
Talawali Chanda,1500,2,Ground,Unfurnished,11190000
Talawali Chanda,1000,3,Ground,Semi Furnished,8370000
Talawali Chanda,1000,2,4,Unfurnished,13760000
Talawali Chanda,750,1,3,Semi Furnished,10210000
Talawali Chanda,1000,2,2,Semi Furnished,12190000
Talawali Chanda,1500,3,3,Unfurnished,19150000
Talawali Chanda,500,1,Ground,Furnished,4400000
Talawali Chanda,1500,2,4,Furnished,34030000
Talawali Chanda,600,1,Ground,Furnished,5280000
Talawali Chanda,1200,3,4,Semi Furnished,20600000
Talawali Chanda,1200,3,3,Semi Furnished,17960000
Talawali Chanda,1000,2,3,Furnished,19330000
Talawali Chanda,1500,3,3,Furnished,30370000
Rajendra Nagar,1200,2,Ground,Unfurnished,9720000
Rajendra Nagar,750,1,4,Furnished,16660000
Rajendra Nagar,1500,3,1,Furnished,20810000
Rajendra Nagar,1200,2,2,Semi Furnished,15390000
Rajendra Nagar,1500,3,Ground,Furnished,15530000
Rajendra Nagar,600,1,Ground,Furnished,5650000
Rajendra Nagar,1000,1,2,Unfurnished,10710000
Rajendra Nagar,1500,3,4,Furnished,36650000
Rajendra Nagar,1200,2,3,Furnished,23960000
Rajendra Nagar,750,1,1,Unfurnished,6910000
Rajendra Nagar,750,2,Ground,Semi Furnished,6470000
Rajendra Nagar,1500,2,Ground,Semi Furnished,12930000
Rajendra Nagar,500,1,1,Semi Furnished,5110000
Rajendra Nagar,600,1,2,Semi Furnished,7330000
Rajendra Nagar,1500,2,4,Semi Furnished,25530000
Rajendra Nagar,500,1,Ground,Furnished,4710000
Rajendra Nagar,1500,2,Ground,Unfurnished,12150000
Rajendra Nagar,1000,2,2,Semi Furnished,12820000
Rajendra Nagar,600,1,1,Unfurnished,5530000
Rajendra Nagar,500,1,2,Semi Furnished,6110000
Rajendra Nagar,1000,1,4,Unfurnished,13710000
Rajendra Nagar,1000,2,2,Furnished,16600000
Rajendra Nagar,1000,3,Ground,Furnished,10350000
Rajendra Nagar,1200,2,2,Furnished,19920000
Rajendra Nagar,1200,2,2,Unfurnished,13500000
Rajendra Nagar,750,2,3,Semi Furnished,11190000
Rajendra Nagar,600,1,4,Semi Furnished,9730000
Rajendra Nagar,600,1,3,Semi Furnished,8530000
Rajendra Nagar,500,1,4,Unfurnished,6860000
Rajendra Nagar,500,1,2,Furnished,7910000
Rajendra Nagar,500,1,4,Furnished,11110000
Rajendra Nagar,1500,2,2,Unfurnished,16870000
Kalod Hala,1200,2,2,Semi Furnished,13550000
Kalod Hala,1200,3,2,Furnished,18950000
Kalod Hala,750,2,2,Furnished,11300000
Kalod Hala,750,1,1,Furnished,8370000
Kalod Hala,1200,3,1,Unfurnished,10240000
Kalod Hala,750,2,4,Unfurnished,9650000
Kalod Hala,1200,2,3,Unfurnished,13550000
Kalod Hala,1000,3,4,Furnished,22830000
Kalod Hala,1500,2,3,Semi Furnished,20090000
Kalod Hala,1000,2,1,Unfurnished,8140000
Kalod Hala,750,2,1,Unfurnished,6110000
Kalod Hala,750,1,2,Semi Furnished,8070000
Kalod Hala,600,1,4,Semi Furnished,8850000
Kalod Hala,1000,1,3,Unfurnished,10750000
Kalod Hala,600,1,4,Unfurnished,7350000
Kalod Hala,1200,2,1,Semi Furnished,11030000
Kalod Hala,750,2,4,Semi Furnished,11620000
Kalod Hala,600,1,4,Furnished,12450000
Kalod Hala,1200,3,4,Furnished,27400000
Kalod Hala,1500,3,2,Furnished,23680000
Kalod Hala,1500,2,2,Unfurnished,14580000
Kalod Hala,1500,2,4,Semi Furnished,23240000
Kalod Hala,600,1,1,Furnished,6690000
Kalod Hala,1200,3,Ground,Unfurnished,8260000
Kalod Hala,600,1,1,Unfurnished,4650000
Kalod Hala,1500,2,1,Furnished,17570000
Kalod Hala,1500,2,2,Semi Furnished,16940000
Kalod Hala,500,1,1,Semi Furnished,4380000
Kalod Hala,1000,3,3,Furnished,19310000
Kalod Hala,600,1,2,Semi Furnished,6450000
Kalod Hala,500,1,1,Furnished,5580000
Kalod Hala,600,1,2,Furnished,8610000
Kalibillod,750,2,Ground,Semi Furnished,4050000
Kalibillod,600,1,1,Unfurnished,3690000
Kalibillod,500,1,2,Unfurnished,3820000
Kalibillod,750,1,2,Semi Furnished,6860000
Kalibillod,1200,2,3,Semi Furnished,14050000
Kalibillod,1000,3,3,Semi Furnished,12260000
Kalibillod,600,1,1,Furnished,5730000
Kalibillod,1000,2,4,Unfurnished,11180000
Kalibillod,500,1,1,Semi Furnished,3570000
Kalibillod,750,1,1,Unfurnished,4610000
